headline,date,url,source
"Cardenal Blase Cupich, arzobispo de Chicago: “Nuestros sacerdotes han sido detenidos por agentes de inmigración debido al color de su piel”",2026-02-07,https://elpais.com/noticias/inmigracion/3/,immigration_topic
La comida que traje cuando migré,2026-02-07,https://elpais.com/noticias/inmigracion/3/,immigration_topic
"Hacerse mayor en un piso de alquiler: “Alargaré mi vida laboral para cobrar más pensión, pero me tendré que ir a un pueblo. Esto va a explotar”",2026-02-07,https://elpais.com/noticias/inmigracion/3/,immigration_topic
HRW denuncia que los solicitantes de asilo “no tienen un acceso adecuado” a protección en Ceuta y Melilla,2026-02-07,https://elpais.com/noticias/inmigracion/3/,immigration_topic
Grupos de derechos civiles y migrantes instan a los turistas a reconsiderar visitar Florida para el Mundial 2026: “No es seguro”,2026-02-06,https://elpais.com/noticias/inmigracion/3/,immigration_topic
"“¡Boicot! ¡No compramos donde no nos respetan!”: Target, el nuevo foco de las protestas contra el ICE tras varios arrestos en sus tiendas",2026-02-06,https://elpais.com/noticias/inmigracion/3/,immigration_topic
Junts en Figueres aprueba una moción contra la regularización de migrantes: “irresponsable y con graves consecuencias económicas y sociales”,2026-02-06,https://elpais.com/noticias/inmigracion/3/,immigration_topic
Un juez federal dictamina que el ICE no puede realizar arrestos sin orden judicial en Oregón,2026-02-05,https://elpais.com/noticias/inmigracion/3/,immigration_topic
Sánchez escribe en ‘The New York Times’ para defender la regularización: “Occidente necesita inmigrantes”,2026-02-05,https://elpais.com/noticias/inmigracion/3/,immigration_topic
Las muertes de Alex Pretti y Renee Good en Minneapolis reavivan la batalla legal de los Estados demócratas contra el ICE,2026-02-05,https://elpais.com/noticias/inmigracion/3/,immigration_topic
"Los delirios racistas, como la teoría del Gran Reemplazo, solo producen monstruos de odio y violencia",2026-02-05,https://elpais.com/noticias/inmigracion/3/,immigration_topic
Cuando cumplir la ley te deja sin piso,2026-02-05,https://elpais.com/noticias/inmigracion/3/,immigration_topic
"Y encima, quieren un sueldo",2026-02-05,https://elpais.com/noticias/inmigracion/3/,immigration_topic
“El sistema apesta. Este trabajo apesta”: una abogada del ICE admite ante un juez que la agencia incumple órdenes judiciales,2026-02-05,https://elpais.com/noticias/inmigracion/3/,immigration_topic
