url,ministry,year,slug,date
https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/exteriores/Paginas/2025/290725-albares-palestina-naciones-unidas.aspx,exteriores,2025,290725-albares-palestina-naciones-unidas,2025-07-29
https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/exteriores/paginas/2025/290925-albares-mondiacult-patrimonio-ucrania.aspx,exteriores,2025,290925-albares-mondiacult-patrimonio-ucrania,2025-09-29
https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/exteriores/paginas/2025/300425-albares-pacto-verde-ue.aspx,exteriores,2025,300425-albares-pacto-verde-ue,2025-04-30
https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/exteriores/Paginas/2025/300525-albares-reunion-ministro-lituania.aspx,exteriores,2025,300525-albares-reunion-ministro-lituania,2025-05-30
https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/exteriores/Paginas/2025/300625-albares-ffd4-salud-mundial.aspx,exteriores,2025,300625-albares-ffd4-salud-mundial,2025-06-30
https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/exteriores/Paginas/2025/310125-albares-conferencia-financiacion-desarrollo.aspx,exteriores,2025,310125-albares-conferencia-financiacion-desarrollo,2025-01-31
https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/exteriores/paginas/2025/310125-albares-hungaro-agenda-europea.aspx,exteriores,2025,310125-albares-hungaro-agenda-europea,2025-01-31
https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/exteriores/paginas/2025/310725-albares-ayuda-gaza.aspx,exteriores,2025,310725-albares-ayuda-gaza,2025-07-31
https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/exteriores/paginas/2025/310725-albares-campana-viaja-seguro.aspx,exteriores,2025,310725-albares-campana-viaja-seguro,2025-07-31
https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/exteriores/paginas/2025/que-es-el-consejo-europeo-ue.aspx,exteriores,2025,que-es-el-consejo-europeo-ue,2025-07-01
https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/exteriores/Paginas/2025/que-es-la-onu-naciones-unidas.aspx,exteriores,2025,que-es-la-onu-naciones-unidas,2025-07-01
